Date,Open,High,Low,Close,Adjusted_close,Volume
2023-06-22,3260,3267.65,3230.1,3238.5,3206.9044,1529603
2023-06-23,3237.3,3249.4,3209.15,3216.35,3184.9705,1119505
2023-06-26,3205,3213.9,3173,3189.65,3158.531,1978803
2023-06-27,3202,3209.65,3182.3,3197.35,3166.1559,863542
2023-06-28,3197.35,3197.35,3197.35,3197.35,3166.1559,0
2023-06-30,3220,3310,3214.1,3302.25,3270.0325,2672406
2023-07-03,3314.3,3318.8,3268.75,3272.3,3240.3747,1687264
2023-07-04,3290,3315,3277.3,3308.85,3276.5681,1656681
2023-07-05,3320,3329,3305,3319.95,3287.5598,1453008
2023-07-06,3306.55,3328.45,3302,3322.9,3290.481,1848238
2023-07-07,3302,3356.9,3302,3329.25,3296.7691,1789326
2023-07-10,3324.75,3324.75,3265.2,3271.95,3240.0281,1407431
2023-07-11,3295,3295,3260.8,3272.4,3240.4737,1110172
2023-07-12,3280.95,3289.15,3250.1,3259.9,3228.0957,1515240
2023-07-13,3284,3367.45,3272.75,3340.55,3307.9588,4585146
2023-07-14,3365,3524.85,3352,3514.65,3480.3603,6306101
2023-07-17,3510,3549.9,3477.05,3491.7,3457.6342,2743228
2023-07-18,3476,3524,3465,3496.85,3462.7339,2600090
2023-07-19,3500,3516.85,3445.65,3470.05,3436.1954,2405370
2023-07-20,3453.1,3478.9,3436.05,3463.3,3438.4292,1715404
2023-07-21,3404.05,3434.9,3359.05,3368.3,3344.1114,3770223
2023-07-24,3381,3413.45,3372.1,3394.75,3370.3715,1680132
2023-07-25,3397.5,3406.8,3380.2,3399.15,3374.7399,1272980
2023-07-26,3400.35,3420.85,3385,3388.3,3363.9678,1066803
2023-07-27,3394.95,3411.65,3385.05,3396.9,3372.5061,1701769
2023-07-28,3385,3393.7,3331,3355.4,3331.3041,2599831
2023-07-31,3364.4,3426.65,3360.9,3421.45,3396.8798,2743678
2023-08-01,3415,3460,3415,3452.05,3427.26,1956167
2023-08-02,3434.95,3446.4,3413.6,3440.65,3415.9419,1914899
2023-08-03,3420,3433.25,3368,3399.95,3375.5342,2026351
2023-08-04,3401.25,3471,3401.25,3443.55,3418.8211,2248493
2023-08-07,3453.95,3488,3441.25,3484.05,3459.0302,1853889
2023-08-08,3484.05,3489.95,3456.6,3470.6,3445.6768,1634225
2023-08-09,3464.9,3467,3425.05,3462.5,3437.635,1794589
2023-08-10,3450,3464.9,3430.05,3442.1,3417.3815,1096701
2023-08-11,3438.1,3466.65,3414,3448.8,3424.0334,1679974
2023-08-14,3440.7,3455,3411,3449.85,3425.0758,1190425
2023-08-16,3450,3466,3435.2,3458.4,3433.5644,1328445
2023-08-17,3455,3460.8,3413.2,3435.75,3411.0771,1843241
2023-08-18,3410,3410,3356.5,3367.1,3342.9201,2526749
2023-08-21,3375,3409.75,3372,3401.65,3377.2219,1375579
2023-08-22,3400,3411,3365.05,3382.15,3357.862,1222012
2023-08-23,3388,3402,3376,3398.25,3373.8464,1330046
2023-08-24,3408,3413.05,3378.1,3387.75,3363.4218,1152881
2023-08-25,3375,3385.8,3350.25,3381.3,3357.0181,1158046
2023-08-28,3394,3394,3360.1,3375.55,3351.3094,1037485
2023-08-29,3381.05,3389.55,3365,3376.15,3351.9051,944517
2023-08-30,3398,3408.1,3383.05,3390.95,3366.5988,1188200
2023-08-31,3401,3417.4,3343.65,3356.8,3332.694,3417652
2023-09-01,3366,3389,3356.8,3379.2,3354.9332,1277950
2023-09-04,3378,3432.85,3370.05,3418.5,3393.9509,1828332
2023-09-05,3420,3447,3405.15,3429.35,3404.723,1501842
2023-09-06,3434,3443.9,3398.1,3429.9,3405.2691,1314818
2023-09-07,3430.8,3460,3422.3,3455.25,3430.437,1885092
2023-09-08,3455.25,3465,3435.05,3441.9,3417.1829,1518917
2023-09-11,3462,3485.7,3445,3480.65,3455.6546,1783604
2023-09-12,3492,3589.9,3483,3580.8,3555.0854,4476016
2023-09-13,3571.1,3588.85,3545,3567.85,3542.2284,1754929
2023-09-14,3570.05,3597.7,3545.6,3560.05,3534.4844,2604721
2023-09-15,3567.85,3607.35,3562.45,3598.3,3572.4598,2952897
2023-09-18,3580.05,3619.3,3575.25,3606.15,3580.2534,1395753
2023-09-20,3580,3625,3580,3606.05,3580.1541,1649396
2023-09-21,3588.55,3605,3528,3585.3,3559.5531,2004073
2023-09-22,3584,3633.75,3565.05,3603.65,3577.7713,1989083
2023-09-25,3602.5,3620,3558.65,3577.15,3551.4616,1238778
2023-09-26,3567.6,3594.95,3536,3585.7,3559.9502,1726062
2023-09-27,3590,3614,3555.7,3589.3,3563.5244,1541134
2023-09-28,3600,3602.8,3527.35,3536.75,3511.3518,1755753
2023-09-29,3537.2,3568.45,3505.55,3528.6,3503.2603,2243791
2023-10-03,3534.2,3534.2,3480.1,3513.85,3488.6162,1948148
2023-10-04,3486.3,3548,3477.3,3537.75,3512.3446,1788138
2023-10-05,3554,3624,3551.2,3589.35,3563.574,2990768
2023-10-06,3591,3634.95,3575.05,3621.4,3595.3939,2075691
2023-10-09,3645.05,3679,3631,3638.35,3612.2221,4233074
2023-10-10,3640.05,3648,3601.35,3628.9,3602.84,1848148
2023-10-11,3650,3650,3605,3609.9,3583.9765,2426417
2023-10-12,3575,3588.65,3538.1,3542.55,3517.1101,4241281
2023-10-13,3530,3577,3525,3570.85,3545.2069,2890357
2023-10-16,3566,3574.65,3519.1,3524.05,3498.743,1671104
2023-10-17,3530,3534.15,3503.35,3507.05,3481.865,1672065
2023-10-18,3511,3522.7,3484,3487.25,3462.2072,1408245
2023-10-19,3469.5,3476.85,3451.9,3455.65,3439.7115,1514545
2023-10-20,3450.4,3499.5,3444.05,3494.55,3478.4321,1481211
2023-10-23,3473,3478.95,3401.3,3410.15,3394.4213,1106272
2023-10-25,3390.5,3425,3377.2,3390.1,3374.4638,1518537
2023-10-26,3368.05,3373.7,3330,3336.75,3321.3599,1984471
2023-10-27,3350,3362,3337,3350.95,3335.4944,1108851
2023-10-30,3350,3382.85,3333.75,3378.55,3362.9671,910972
2023-10-31,3399,3399,3350.05,3368.75,3353.2123,999811
2023-11-01,3355,3371.6,3311,3330.65,3315.288,1563475
2023-11-02,3343.2,3375.95,3343.2,3360.1,3344.6022,1245384
2023-11-03,3382,3387.9,3344.3,3350.9,3335.4446,1402598
2023-11-06,3375,3392.3,3359,3380.25,3364.6592,1099852
2023-11-07,3378,3404.15,3366,3370.45,3354.9044,1191144
2023-11-08,3371.45,3401.95,3369.55,3381.55,3365.9532,992899
2023-11-09,3390.1,3391.5,3342.05,3347.45,3332.0105,2112352
2023-11-10,3338,3347.45,3322.35,3333.45,3318.0751,1338557
2023-11-12,3350,3359,3345,3357.3,3341.8151,173346
2023-11-13,3356,3356,3327,3331.55,3316.1839,1030990
2023-11-15,3383.1,3413,3356.05,3404.3,3388.5983,2059802
2023-11-16,3430.05,3529.35,3414.2,3497.85,3481.7168,3951984
